mouse,lesion,DAPI_count,total_host_count,B220_count,CD4_count,CD8_count,area,nonrep_tb,rep_tb,total_tb,B220_percent,CD4_percent,CD8_percent,Other_percent,B220_prop,CD4_prop,CD8_prop,DAPI_prop,DAPI_count_500,total_host_count_500,B220_count_500,CD4_count_500,CD8_count_500,RS_index,log_rep_tb,log_nonrep_tb,log_total_tb,log_RS_index,log_RS_prop,RS_prop,Vaccination,Timepoint
BCG21,L06,837,1642,387,166,127,77030.66652,11,0,11,23.56881851,10.10962241,7.734470158,50.97442144,0.235688185,0.101096224,0.077344702,0.509744214,1.674,3.284,0.774,0.332,0.254,0,0,2.48490665,2.48490665,0,0,0,BCG,D114
BCG21,L07,2209,3538,77,388,328,227342.5278,106,10,116,2.176370831,10.96664782,9.270774449,62.43640475,0.021763708,0.109666478,0.092707744,0.624364047,4.418,7.076,0.154,0.776,0.656,3.093102382,2.397895273,4.672828834,4.762173935,6.907132123,0.503529545,0.086206897,BCG,D114
SAL18,L01,1131,1368,63,103,71,144342.3962,258,19,277,4.605263158,7.529239766,5.19005848,82.6754386,0.046052632,0.075292398,0.051900585,0.826754386,2.262,2.736,0.126,0.206,0.142,14.91171404,2.995732274,5.556828062,5.627621114,22.17761255,0.532326575,0.068592058,SAL,D114
SAL18,L02,316,421,17,72,16,29220.43641,56,1,57,4.038004751,17.10213777,3.800475059,75.05938242,0.040380048,0.171021378,0.038004751,0.750593824,0.632,0.842,0.034,0.144,0.032,2.417712928,0.693147181,4.043051268,4.060443011,16.53512705,0.17070728,0.01754386,SAL,D114
SAL18,L03,513,709,30,90,76,48036.9923,88,7,95,4.231311707,12.69393512,10.71932299,72.35543018,0.042313117,0.126939351,0.10719323,0.723554302,1.026,1.418,0.06,0.18,0.152,10.65841775,2.079441542,4.48863637,4.564348191,29.82392673,0.45558346,0.073684211,SAL,D114
SAL18,L04,4465,5347,223,324,335,363613.0439,692,64,756,4.170562932,6.059472601,6.265195437,83.50476903,0.041705629,0.060594726,0.062651954,0.83504769,8.93,10.694,0.446,0.648,0.67,13.07631852,4.17438727,6.541029999,6.629363253,7.912399903,0.629681481,0.084656085,SAL,D114
SAL18,L05,2397,3044,141,260,246,201011.829,540,56,596,4.632063075,8.541392904,8.081471748,78.74507227,0.046320631,0.085413929,0.080814717,0.787450723,4.794,6.088,0.282,0.52,0.492,20.30466735,4.043051268,6.293419279,6.391917113,13.48991052,0.632525609,0.093959732,SAL,D114
SAL18,L06,1682,2163,63,204,214,158074.3864,385,61,446,2.912621359,9.431345354,9.893666204,77.76236708,0.029126214,0.094313454,0.098936662,0.777623671,3.364,4.326,0.126,0.408,0.428,32.66987289,4.127134385,5.955837369,6.102558595,19.55065079,0.676295741,0.1367713,SAL,D114
SAL18,L07,1233,1849,263,193,161,105324.0982,30,4,34,14.22390481,10.43807463,8.70740941,66.68469443,0.142239048,0.104380746,0.087074094,0.666846944,2.466,3.698,0.526,0.386,0.322,2.451775735,1.609437912,3.433987204,3.555348061,9.011991376,0.45268083,0.117647059,SAL,D114
SAL18,L08,1909,2577,131,280,258,168558.1815,414,62,476,5.083430345,10.8653473,10.01164144,74.07838572,0.050834303,0.108653473,0.100116414,0.740783857,3.818,5.154,0.262,0.56,0.516,27.66201946,4.143134726,6.02827852,6.167516491,16.44870256,0.67176711,0.130252101,SAL,D114
